metric_ik14,n_inchikey14,inchikey14s,example_smiles
ALCVRKZFLFWUAZ,2,ALCVRKZFLFWUAZ;RTKIYFITIVXBLE,CC(C=CC(O)=NO)=CC(C)C(=O)c1ccc(N(C)C)cc1;CC(C=CC(=O)NO)=CC(C)C(=O)c1ccc(N(C)C)cc1;CC(=CC(C)C=CC(O)=NO)C(=O)c1ccc(N(C)C)cc1
UGGUCACMQFGWAH,2,LUKZNWIVRBCLON;UGGUCACMQFGWAH,CC(C)C(=O)OCC(=O)C12OC(C3CCCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C;CC(C)C(=O)OCC(=O)C12OC(C3CCCCC3)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3C(O)CC12C
UHIDRWKOWDRGDV,2,UHIDRWKOWDRGDV;WZLBVRXZNDXPPW,CNCc1ccc(CSCCNC(=C[N+](=O)[O-])NC)o1;CN=C(C[N+](=O)[O-])NCCSCc1ccc(CNC)o1
UHPUXHHRIGFCAY,2,SRUILBLGVMJFPG;UHPUXHHRIGFCAY,CCC(C)C=C(C)C=CC(=O)Cc1cc(O)c(C)c(O)c1C=O;CCC(C)=CC(C)=CCC(=O)Cc1cc(O)c(C)c(O)c1C=O
UIUJVNPDIBLVBJ,2,KNTBYRLZKNFFCS;UIUJVNPDIBLVBJ,CCOC(=O)C1=C(N)Oc2c(oc(CO)cc2=O)C1c1c(Cl)cccc1Cl;CCOC(=O)C1C(=N)Oc2c(oc(CO)cc2=O)C1c1c(Cl)cccc1Cl
UIWHAJBEDHINDA,2,OMLHSPICBMJGOM;UIWHAJBEDHINDA,CCc1ccc(NC2CC(=O)N(c3ccc(Cl)cc3C)C2=O)cc1;CCc1ccc(Nc2cc(O)n(-c3ccc(Cl)cc3C)c2O)cc1
UJHMQAXJBPGSEH,2,IXOMHPDEPRMKFN;UJHMQAXJBPGSEH,N#CC1=C(N)Oc2c(oc(CO)cc2=O)C1c1cccc(Cl)c1;N#CC1C(=N)Oc2c(oc(CO)cc2=O)C1c1cccc(Cl)c1
UJLKILMZJPEXJN,2,DIAOGWYBBJCPAD;UJLKILMZJPEXJN,CCc1ccc2c(O)c3c(cc2c1C(=O)OC)C(=O)c1c(O)ccc(O)c1C3=O;CCc1ccc2c(O)c3c(O)c4c(c(O)c3cc2c1C(=O)OC)C(=O)C=CC4=O
UKDGDWZNERCVLM,2,QPJSCGCYCXVKPC;UKDGDWZNERCVLM,Cc1ccc(NC=C2C(=O)Oc3ccccc3C2=O)c(C)c1;Cc1ccc(N=Cc2c(O)c3ccccc3oc2=O)c(C)c1
UKJRKVVSVHEMJS,2,UKJRKVVSVHEMJS;VKXPFUZQXMQEDU,CC(=O)OC1CC(C=CC(=O)NC2=C(O)CCC2=O)=CO1;CC(=O)OC1CC(CCC(=O)N=C2C(=O)CCC2=O)=CO1
UKKQFFSARRSPIH,2,UKKQFFSARRSPIH;UXMPTDXXFKSNDM,CCOc1cc(C2NC(O)=NC(C)=C2C(=O)OCC(F)(F)F)ccc1O;CCOc1cc(C2NC(=O)N=C(C)C2C(=O)OCC(F)(F)F)ccc1O
UKQYPWIZZHSEQB,2,STOYMKJWHHPSDH;UKQYPWIZZHSEQB,C=C1C(OC(C)=O)C(=O)C2C(C)(C)C(OC(C)=O)CCC2(C)C1CC(OC(C)=O)C(C)=CCOC(C)=O;CC(=O)OCC=C(C)C(CC1=C(C)C(OC(C)=O)C(=O)C2C1(C)CCC(OC(C)=O)C2(C)C)OC(C)=O
ULQUFCABXCXQBL,2,ASGNCWOMXZKUJQ;ULQUFCABXCXQBL,Cc1[nH]c2ccccc2c1CCN=C(O)C(=Cc1ccccc1)N=C(O)c1cccc(Br)c1;Cc1[nH]c2ccccc2c1CCNC(=O)C(Cc1ccccc1)=NC(=O)c1cccc(Br)c1
ULXZDYCUENKUCJ,2,ULXZDYCUENKUCJ;YQLQWGVOWKPLFR,CC1OC(OC23C(=Cc4c(Cl)cc(CC#N)cc42)C=CC3O)C(O)C(=O)C1(C)O;CC1OC(OC23C(=Cc4c(Cl)cc(CC#N)cc42)C=CC3O)C(=O)C(O)C1(C)O
UMCFMEIXGMAVKR,2,AYQMENXVDLFJKG;UMCFMEIXGMAVKR,COc1ccc(C2CC(=O)C3=C(C2)Nc2ccccc2NC3c2cc(Br)c(O)c(OC)c2)cc1OC;COc1ccc(C2CC(=O)C3C(=Nc4ccccc4NC3c3cc(Br)c(O)c(OC)c3)C2)cc1OC
UMGIOBCVRLYQOW,2,AGZMFTKKLPHOMT;UMGIOBCVRLYQOW,CC=C1CN2CCC34C(=C(C(=O)OC)C1CC23)Nc1ccccc14;CC=C1CN2CCC34C(=Nc5ccccc53)C(C(=O)OC)C1CC24
UMNJZPPTLPVZFR,2,GOURNRSYZGPZPD;UMNJZPPTLPVZFR,COC1C=COC2(C)Oc3c(C)c(OC(=O)c4ccccc4Cl)c4c(c3C2=O)C(=O)C(Cc2cc(C)cc(C)c2)=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O;COC1C=COC2(C)Oc3c(C)c(OC(=O)c4ccccc4Cl)c4c(O)c(c(=Cc5cc(C)cc(C)c5)c(O)c4c3C2=O)=NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
UMSOZZPZBYFFSD,2,KSYRCWWRVVIIEX;UMSOZZPZBYFFSD,COC(C=Cc1ccccc1)C(C)C(OC)C(C)C=CC(C)=CC(=O)NC=CCC=CC(=O)NCC(=O)O;COC(C=Cc1ccccc1)C(C)C(OC)C(C)C=CC(C)=CC(O)=NC=CCC=CC(O)=NCC(=O)O;COC(C=Cc1ccccc1)C(C)C(OC)C(C)=CC=C(C)CC(=O)N=CCCCCC(=O)N=CC(=O)O
UMVGTIHJQQYCQI,2,GVEOMNJXMUCGMT;UMVGTIHJQQYCQI,NC1=C(Br)C2=NCCc3c[nH]c(c32)C1=O;Nc1c(O)c2c3c(c1Br)=NCCC=3C=N2
UMZWNADQRDCKII,2,QGNRETMYLHRUBB;UMZWNADQRDCKII,O=C(O)CC(C(=O)O)N1C(=O)C(=C2C(O)=Nc3ccc(Br)cc32)SC1=S;O=C(O)CC(C(=O)O)n1c(O)c(C2=c3cc(Br)ccc3=NC2=O)sc1=S
UNISKOOZAQCSPC,2,UNISKOOZAQCSPC;VOVIALXJUBGFJZ,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1;CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
UNOZKAJTQWGIOS,2,UJTKFAJRHSQRMS;UNOZKAJTQWGIOS,COc1cc(-c2[nH]c(C(=O)NCC3CCCO3)cc3c4ccccc4nc2-3)cc(OC)c1OC;COc1cc(-c2nc(C(=O)NCC3CCCO3)cc3c2[nH]c2ccccc23)cc(OC)c1OC
UNRWIPNEFZWESY,2,ONDYALNGTUAJDX;UNRWIPNEFZWESY,COc1cccc2c1c(O)c(C(=O)N(C)c1ccc(C(F)(F)F)cc1)c(=O)n2C;COc1cccc2c1c(=O)c(C(=O)N(C)c1ccc(C(F)(F)F)cc1)c(O)n2C
UOTFMHYRVPWGDN,2,BYGXUUOADNRIED;UOTFMHYRVPWGDN,COC1(C)C(O)C(=O)C(C)=C(Oc2cc(C)cc(O)c2C)C1O;COC1(C)C(=O)C(O)C(C)=C(Oc2cc(C)cc(O)c2C)C1O
UOXUQKHUNHOUMB,2,PKPHZFVECLENRP;UOXUQKHUNHOUMB,CC1CC(=O)C2=C(C1)CC(O)C1(O)C2C(=O)c2cccc(O)c2C1O;CC1=CC(=O)C2C(C1)CC(O)C1(O)C(O)c3c(O)cccc3C(=O)C21
UOYMXDQFMIQZKZ,2,LGVFNUIOBMTGRA;UOYMXDQFMIQZKZ,CC(=CC=CC(C)C1CCC2(C)C3CCC4C(C)(C)C(=O)CCC45CC35CCC12C)C(=O)O;CC(=CC=CC(C)C(=O)O)C1CCC2(C)C3CCC4C(C)(C)C(=O)CCC45CC35CCC12C
UPKJTHPZSTZJNH,2,CHNXZKVNWQUJIB;UPKJTHPZSTZJNH,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C;C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C
ALKRGASYNGBLBE,2,ALKRGASYNGBLBE;UQMOXDGZRXGLEF,COc1cccc(C2C(C(C)=O)=C(O)C(=O)N2CCc2cnc[nH]2)c1;COc1cccc(C2C(C(C)=O)C(=O)C(=O)N2CCc2c[nH]cn2)c1
UQKFEFWLGIFMIY,2,OWTADLKGUKYLCP;UQKFEFWLGIFMIY,CC=CC(=O)CC1C(=O)C=CC1(CCCCCCCC(=O)O)OC(C)=O;CC=CC(=O)C=C1C(=O)CCC1(CCCCCCCC(=O)O)OC(C)=O
UQPHVQVXLPRNCX,2,UQPHVQVXLPRNCX;YTBSYETUWUMLBZ,O=CC(O)C(O)CO;O=C(CO)C(O)CO
UQWWMOIQWUXAKB,2,UCOHTFASGZGQDX;UQWWMOIQWUXAKB,Brc1ccc(C2C=C(c3cccs3)Nc3nncn32)cc1;Brc1ccc(C2CC(c3cccs3)=Nc3nncn32)cc1
URFZMKWCLARYJB,2,URFZMKWCLARYJB;UVDHGPXSMUJCFZ,CC(O)=NC1=C(NCCc2c[nH]c3ccccc23)C(=O)c2ccccc2C1=O;CC(=O)N=C1C(=O)c2ccccc2C(=O)C1NCCc1c[nH]c2ccccc12
URZDOVSQEANZBA,2,BGKIISXUCXQGJO;URZDOVSQEANZBA,CC1=CC(=O)CC2C1CCC(C)C21COC(c2ccoc2)C1=O;CC1=C2CCC(C)C3(COC(c4ccoc4)C3=O)C2CC(=O)C1
USEPHSUDGWMHQX,2,OHDXGZAYYBMHCY;USEPHSUDGWMHQX,CC=CC=CC=CC(=O)NC(CC(=O)NC(C(=O)C1C(=O)NC(=O)C1C)C(C)C)c1ccccc1;CC=CC=CC=CC(=O)NC(CC(=O)NC(C(=O)c1c(O)[nH]c(O)c1C)C(C)C)c1ccccc1
USWORSUDJQKUJO,2,IMBXEJJVJRTNOW;USWORSUDJQKUJO,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)COC(=O)CCC(=O)O)C2(C)C=CC(=O)C=C12;CC1=C2CC(=O)C=CC2(C)C2C(O)CC3(C)C(CCC3(O)C(=O)COC(=O)CCC(=O)O)C2C1
UTCJVDFLMODHQX,2,BPYKTIZUTYGOLE;UTCJVDFLMODHQX,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O;C=CC1=C(C)C(Cc2[nH]c(Cc3[nH]c(CC4=NC(=O)C(=C)C4=CC)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O
UTZKHRPBILWNJL,2,KMSKQZKKOZQFFG;UTZKHRPBILWNJL,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(OC2CCCCO2)C(C)O1;COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(CC(O)(C(=O)CO)CC1OC1CC(N)C(OC2CCCCO2)C(C)O1)C3=O
UUNQYGUCVSFAME,2,DHSUYTOATWAVLW;UUNQYGUCVSFAME,CC1(C)CC1C(O)=NC(=CCCCCSCC(N)C(=O)O)C(=O)O;CC1(C)CC1C(=O)NC(=CCCCCSCC(N)C(=O)O)C(=O)O;CC1(C)CC1C(=O)N=C(CCCCCSCC(N)C(=O)O)C(=O)O
UURQLTORRWBQQE,2,DIKSYHCCYVYKRO;UURQLTORRWBQQE,CCc1cccc2c1c(O)c(C(=O)N(CC)c1ccccc1)c(=O)n2C;CCc1cccc2c1c(=O)c(C(=O)N(CC)c1ccccc1)c(O)n2C
UUTXTEDNHHJSOM,2,LWSTYEFXLCIYPR;UUTXTEDNHHJSOM,C#CCSc1nc(N)c2c(n1)OC(N)=C(C#N)C2c1cccc(F)c1;C#CCSc1nc(N)c2c(n1)OC(=N)C(C#N)C2c1cccc(F)c1
UVFGBNJTDYXMKC,2,JPFATYRRBODPCE;YOCSPUWCPMRJNL,CC(CCC(=O)OC(CO)C(O)C(O)C(=O)CO)C1CCC2C3C(=O)C(O)C4CC(O)CCC4(C)C3CCC12C;CC(CCC(=O)OC(CO)C(O)C(O)C(O)C=O)C1CCC2C3C(=O)C(O)C4CC(O)CCC4(C)C3CCC12C
UVSPCIVREPSYMT,2,UVSPCIVREPSYMT;YNJWIMKSTXVCFY,NC1=C(c2c[nH]c3ccccc23)C(O)=NC1=O;N=C1C(=O)NC(=O)C1c1c[nH]c2ccccc12
UVUMCBWIWYGSGU,2,OFQKTZRDRXZBON;UVUMCBWIWYGSGU,C=CC(C)(C)c1[nH]c2cc3c(cc2c1CC1NC(=O)C2=CCCN2C1=O)C=CC(C)(C)O3;C=CC(C)(C)c1[nH]c2cc3c(cc2c1Cc1nc(O)c2n(c1=O)CCC2)C=CC(C)(C)O3
UWBCYURYXWLYIS,2,JSQKCXPOJUGOCX;UWBCYURYXWLYIS,C=CCc1ccc(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)c(O)c1;CC=Cc1ccc(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)c(O)c1
UWFIESPYUUKFCE,2,GATNHYRPUOFIGS;UWFIESPYUUKFCE,CCOc1cc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)cc(Br)c1OC;CCOc1cc(C2Nc3ccccc3N=C3CC(c4ccc(OC)c(OC)c4)CC(=O)C32)cc(Br)c1OC
UWJVJLWDSPPSSD,2,RANGFOQREJPKIH;UWJVJLWDSPPSSD,CC(=O)OCC12C(C=C(C)C(=O)C1O)OC1C(OC(C)=O)CC2(C)C12CO2;CC(=O)OCC12C(=O)C(=O)C(C)CC1OC1C(OC(C)=O)CC2(C)C12CO2
UWONBLCPSXWLPC,2,LHDNKMRQLHZVIW;UWONBLCPSXWLPC,CC1Cc2cc(C(O)=C3C(=O)C(=O)N(CCN(C)C)C3c3cccc(Cl)c3)ccc2O1;CC1Cc2cc(C(=O)C3C(=O)C(=O)N(CCN(C)C)C3c3cccc(Cl)c3)ccc2O1
UWPWEPOUKLTBMR,2,BLFPNXIXUPFMIC;UWPWEPOUKLTBMR,N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccccc1Br;N#CC1C(=N)Oc2c(c(=O)oc3ccccc23)C1c1ccccc1Br
UWYNSZPMRWLKSB,2,QKQVEENHSWRXBN;UWYNSZPMRWLKSB,CCCCCCCC=CC(=O)NC(Cc1c[nH]cn1)C(=O)O;CCCCCCCCCC(=O)N=C(Cc1c[nH]cn1)C(=O)O
ALPSEMFPAVSKJO,2,ALPSEMFPAVSKJO;SRPHMISUTWFFKJ,CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(=O)C(O)C4(C)C)C3(C)C(=O)CC12C;CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)C3(C)C(=O)CC12C
ALZZTTUOVWHDKW,2,ALZZTTUOVWHDKW;NHFDRBXTEDBWCZ,Cc1[nH]c(C=C2C(=O)Nc3ccccc32)c(C)c1CCC(=O)O;C=c1c(CCC(=O)O)c(C)[nH]c1=Cc1c(O)[nH]c2ccccc12
UYCAJINGNDQAOU,2,AWRDPPOFOQSLSL;UYCAJINGNDQAOU,COC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1cc(Cl)c(O)c(OC)c1;COC(=O)C1=C(C)N=C2CCCC(=O)C2C1c1cc(Cl)c(O)c(OC)c1
UYLCTZAHTWQNKC,2,UYLCTZAHTWQNKC;YHDASZCBNPALIL,C=C1C(=O)OC2C1CCC(C)=C1C(=O)C=C(C)C12O;C=C1C(=O)OC2C1CC=C(C)C1C(=O)C=C(C)C12O
UYXXPSPOMQVFGM,2,RPJCNPVTJKMYEB;UYXXPSPOMQVFGM,O=C(NCCCN1CCOCC1)c1ccccc1N1C(=O)C2Cc3c([nH]c4ccccc34)C(c3ccc(F)cc3)N2C1=O;O=C(NCCCN1CCOCC1)c1ccccc1-n1c(O)c2n(c1=O)C(c1ccc(F)cc1)c1[nH]c3ccccc3c1C2
UZCJGWDOFKSAII,2,DFFWZNDCNBOKDI;UZCJGWDOFKSAII,O=C1CC(C(=O)O)CC(=O)C1=C(O)C1CC1;OC(O)=c1cc(O)c(=C(O)C2CC2)c(O)c1
AMHOAZHBZTUXEP,2,AMHOAZHBZTUXEP;KYNXMUCTYHCXFX,CCOc1cc(C2C(C(=O)OC(C)CC)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O;CCOc1cc(C2C(C(=O)OC(C)CC)=C(C)N=C3CC(c4ccc(Cl)cc4)CC(=O)C32)ccc1O
VAEKVULJOIGRTG,2,VAEKVULJOIGRTG;VATYWOIGKMMCMM,CC=CC=CC(=O)C1=C(O)C2(C)C3C(C(=O)C=CC=CC)=C(O)C4(C)C1C1(C)OC4(O)C3(C)OC12O;CC=CC=CC(=O)C1C(=O)C2(C)C3C(C(=O)C=CC=CC)C(=O)C4(C)C1C1(C)OC4(O)C3(C)OC12O
AMHWKCPVHOWZAS,2,AMHWKCPVHOWZAS;PHCSXGHZIAKXHR,CCCC1=CC2=C(CO1)C(=O)C(C)(O)C(OC(=O)c1c(C)cc(OC)cc1O)C2;CCC=C1C=C2CC(OC(=O)c3c(C)cc(OC)cc3O)C(C)(O)C(=O)C2CO1
AMSBRQDLADKBGS,2,AMSBRQDLADKBGS;WZDGZWOAQTVYBX,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C;C#CC1(O)CCC2C3C(C)C=C4CC(=O)CCC4C3CCC21C
VBVKSZNKZUEXRU,2,QBUVFDKTZJNUPP;RCNSAJSGRJSBKK,C=CC1=C(C)C(O)=NC1=Cc1[nH]c(C=C2N=C(C=C3N=C(O)C(C=C)=C3C)C(C)=C2CCC(=O)O)c(CCC(=O)O)c1C;C=CC1=C(C)C(C=c2[nH]c(=Cc3[nH]c(C=C4NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O;C=CC1=C(C)C(C=c2[nH]c(=Cc3[nH]c(C=C4N=C(O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O
VCSXBEOQWHFHQW,2,KFTHKOWIKLPWJD;VCSXBEOQWHFHQW,COC(=O)C1=C(C)NC(SCC(=O)c2ccc3c(c2)OCO3)=C(C#N)C1c1cccs1;COC(=O)C1C(C)=NC(SCC(=O)c2ccc3c(c2)OCO3)=C(C#N)C1c1cccs1
VCYGDRYIXVQWHN,2,JNDVEAXZWJIOKB;VCYGDRYIXVQWHN,Cc1c[nH]c(C=C2C(=O)Nc3ccccc32)c1CCC(=O)O;Cc1c[nH]c(=Cc2c(O)[nH]c3ccccc23)c1=CCC(=O)O
VDOHBGQSFOWYTB,2,FFPFIAFZJXSGDK;VDOHBGQSFOWYTB,CC(C)=CCc1cc(C(O)=CC(=O)c2cc(CC=C(C)C)c(O)cc2O)ccc1O;CC(C)=CCc1cc(C(=O)CC(=O)c2cc(CC=C(C)C)c(O)cc2O)ccc1O
VEIWNIXEKNGIFU,2,OMYBJJMORUOHHR;VEIWNIXEKNGIFU,Cc1ccc(COc2ccc(C3Nc4ccccc4NC4=C3C(=O)CC(C)(C)C4)cc2Cl)cc1;Cc1ccc(COc2ccc(C3Nc4ccccc4N=C4CC(C)(C)CC(=O)C43)cc2Cl)cc1
VEMSVEPDPTVDFG,2,LLVXGQBNGWJCSK;VEMSVEPDPTVDFG,COc1ccccc1C(O)=NC(=Cc1ccco1)C(O)=NCCc1c(C)[nH]c2ccccc12;COc1ccccc1C(=O)N=C(Cc1ccco1)C(=O)NCCc1c(C)[nH]c2ccccc12
VFAQSYFWRSUAKW,2,SMUNNMAWNRFDPB;VFAQSYFWRSUAKW,COC(=O)C12C(=O)C(C)=C(O)C1(C)C(C)=CC1C3(C)CCC(=O)C(C)(C)C3CCC12C;COC(=O)C12C(=O)C(C)C(=O)C1(C)C(C)=CC1C3(C)CCC(=O)C(C)(C)C3CCC12C
VFLDPWHFBUODDF,2,VFLDPWHFBUODDF;ZIUSSTSXXLLKKK,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O;COc1cc(C=CC(=O)C=C(O)C=Cc2ccc(O)c(OC)c2)ccc1O
VFVVPBBLCNJQRK,2,VFVVPBBLCNJQRK;YQIFAMYNGGOTFB,N=c1nc(O)c2c([nH]1)NCC(C(O)C(O)CO)=N2;Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)CO)CN2;Nc1nc(=O)c2c([nH]1)NCC(C(=O)C(O)CO)N2
VFVWJPSKLNCMMU,2,VFVWJPSKLNCMMU;ZEMNDQUOMWGCAZ,CC=C1C[N+]2(C)CCC34C(=Nc5ccccc53)C(=CO)C1CC42;CC=C1C[N+]2(C)CCC34C(=C(C=O)C1CC32)Nc1ccccc14;CC=C1C[N+]2(C)CCC34C(=Nc5ccccc53)C(C=O)C1CC42
VFWBXSFHOPASLL,2,NNLJICJPZZZIFI;VFWBXSFHOPASLL,CC1=CC(=O)C2=C(C)CC(OC(=O)Cc3ccccc3)C3C(C)C(=O)OC3C12;CC1=C2C(=O)CC(C)=C2C2OC(=O)C(C)C2C(OC(=O)Cc2ccccc2)C1
VGILITVLTZHLPU,2,FIQHTMZZRQPVHW;VGILITVLTZHLPU,CCOc1cc(C2C(C(=O)OCC(C)C)=C(C)NC3=C2C(=O)CC(c2ccc(Cl)cc2)C3)ccc1O;CCOc1cc(C2C(C(=O)OCC(C)C)=C(C)N=C3CC(c4ccc(Cl)cc4)CC(=O)C32)ccc1O
VGLABFRUPBCSOM,2,LUZSWWYKKLTDHU;VGLABFRUPBCSOM,CCCCCC=CC=CC(=O)CCCCCCCC(=O)O;CCCCC=CC=CCC(=O)CCCCCCCC(=O)O
VGTFZDMSOFAHED,2,AIFXMSDWXBFQTF;VGTFZDMSOFAHED,CC=CC=CC1C=CC2CC(C)CCC2C1(C)C(O)=C1C(=O)C(C(C)O)N=C1O;CC=CC=CC1C=CC2CC(C)CCC2C1(C)C(O)=C1C(=O)NC(C(C)O)C1=O;CC=CC=CC1C=CC2CC(C)CCC2C1(C)C(=O)c1c(O)[nH]c(C(C)O)c1O
VHMIOTPHLMPYFL,2,MIGJIOFAMLVMLQ;VHMIOTPHLMPYFL,COC(=O)CN1C(=O)C2(C(C#N)=C(N)Oc3c2c(=O)oc2ccccc32)c2ccccc21;COC(=O)CN1C(=O)C2(c3ccccc31)c1c(c3ccccc3oc1=O)OC(=N)C2C#N
VHXIVONYTVLBSQ,2,JSXIWUDODLMCGG;VHXIVONYTVLBSQ,COc1c(O)cc2oc3cc(O)c(CCC(C)(C)O)c(O)c3c(=O)c2c1CC=C(C)C;COc1c(O)cc2oc3cc(O)c(CCC(C)(C)O)c(O)c3c(=O)c2c1C=CC(C)C
VIOJNMVMOZPCTD,2,ATJCYSYHWGQAET;VIOJNMVMOZPCTD,CCCCN1C(=O)C(=CC=CC2C(=O)N(CCCC)C(=O)N(CCCC)C2=O)C(=O)N(CCCC)C1=O;CCCCN1C(=O)C(=CC=Cc2c(O)n(CCCC)c(=O)n(CCCC)c2=O)C(=O)N(CCCC)C1=O
VJFMFFQSMRCQDR,2,CVWJKBJRSZXDIW;VJFMFFQSMRCQDR,COc1ccc(C2(O)c3c(ccc(C=CC4(C)CCC(C)(C)CO4)c3O)NC(=O)C2OC)cc1;COc1ccc(C2(O)c3c(O)c(=CCC4(C)CCC(C)(C)CO4)ccc3=NC(=O)C2OC)cc1
VJVONFQVSMCWDI,2,BJPSSVHNEGMBDQ;VJVONFQVSMCWDI,CC1=CC(=O)C2=C(C)CCC3C(C)C(=O)OC3C12;CC1=C2C(=O)CC(C)=C2C2OC(=O)C(C)C2CC1
VKDSLLAXPVZSPZ,2,AHMMSNQYOPMLSX;VKDSLLAXPVZSPZ,C=CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)C=CC4(C)C3CCC12C;C=CCCCCCCCCC(=O)OC1CCC2C3CC=C4CC(=O)C=CC4(C)C3CCC12C
VKNRXGUDGPKLNP,2,VKNRXGUDGPKLNP;WCFIGQHNBJXROP,CC(CCC(=O)O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C;CC(CCC(=O)O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C
VKOYJFNWCXOZFA,2,QWKAHPGKRHHXIK;VKOYJFNWCXOZFA,CCOCCOC(=O)C1=C(C)NC2=C(C(=O)CCC2)C1c1cc(Cl)c(O)c(OC)c1;CCOCCOC(=O)C1=C(C)N=C2CCCC(=O)C2C1c1cc(Cl)c(O)c(OC)c1
VLCBZRQGQQTZDA,2,JKXUAFUJOVITSU;VLCBZRQGQQTZDA,C=CC(C)(C)C12CC3C(=O)NC(=Cc4cnc[nH]4)C(=O)N3C1=[N+]([O-])c1ccccc12;C=CC(C)(C)C12Cc3c(O)nc(Cc4c[nH]cn4)c(=O)n3C1=[N+]([O-])c1ccccc12
VLJSLKGPFCCILF,2,VLJSLKGPFCCILF;VUUONEBXXLQCQX,COc1cc(O)c2c(c1)C(=O)c1c(O)c(C)cc(O)c1C2=O;COc1cc(O)c2c(O)c3c(c(O)c2c1)C(=O)C(C)=CC3=O
VLLBCTKFTIILHS,2,CFRPSFYHXJZSBI;VLLBCTKFTIILHS,CCN(Cc1ccc(Cl)nc1)C(=C[N+](=O)[O-])NC;CCN(Cc1ccc(Cl)nc1)C(C[N+](=O)[O-])=NC
VLNDCCMULBOZDS,2,FMEUWIKCSICJBO;VLNDCCMULBOZDS,COC(=O)CC1CC2=C(C(=O)c3c(O)cccc3C2=O)C(C)O1;COC(=O)CC1C=C2C(=O)c3cccc(O)c3C(=O)C2C(C)O1
VLQPERKUCFNQMX,2,HQXAVJAVLMJBRC;VLQPERKUCFNQMX,CCCCCCCc1nc(C=CC(=O)NCC(=O)NC(C)C(=O)O)cs1;CCCCCCCc1nc(CCC(=O)N=CC(=O)NC(C)C(=O)O)cs1
VLRFNXYNPVLTFE,2,VLRFNXYNPVLTFE;XNBNKCLBGTWWSD,CC1=C(CCC(=O)O)c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(C)c5CCC(=O)O)c(CCC(=O)O)c4C)C(CCC(=O)O)=C3C;CC1=C(CCC(=O)O)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5CCC(=O)O)c(CCC(=O)O)c4C)c(CCC(=O)O)c3C
VLXPJVIFHLXJHW,2,VLXPJVIFHLXJHW;XTJNPXYDTGJZSA,O=C(CCN1C(=O)C2Cc3ccccc3CN2C1=O)NC(C(=O)O)c1ccccc1;O=C(CCn1c(O)c2n(c1=O)Cc1ccccc1C2)NC(C(=O)O)c1ccccc1
VMXKTYXAJWQPHC,2,FVHOUXKYAQHQLA;VMXKTYXAJWQPHC,C=C1NC(=O)C(C(C)O)NC(=O)C(C(C)C)NC(=O)C(C)C(O)C(C)C(CCCCCCCCC)OC1=O;CCCCCCCCCC1OC(=O)C(C)=NC(=O)C(C(C)O)NC(=O)C(C(C)C)NC(=O)C(C)C(O)C1C
